,QueryLabel,TimeStart,TimeStop,Top,Followers,UserID,Median Positive Sentiment,Max Positive Sentiment,Median Negative Sentiment,Max Negative Sentiment
0,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,1,32360.0,@Valenciaturismo,3.0,3.0,-4.0,-4.0
1,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,2,11436.0,@TransitValencia,2.0,3.0,-1.0,-1.0
2,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,3,9667.0,@emtvalencia,1.0,4.0,-1.0,-3.0
3,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,4,8197.0,@CsValencia_C,2.5,3.0,-2.0,-3.0
4,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,5,5252.0,@Ferran,1.0,1.0,-2.0,-2.0
5,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,1,215599.0,@levante_emv,1.0,1.0,-1.0,-1.0
6,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,2,15555.0,@AjuntamentVLC,1.0,1.0,-1.0,-1.0
7,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,3,11436.0,@TransitValencia,1.0,2.0,-1.0,-1.0
8,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,4,9667.0,@emtvalencia,1.0,3.0,-1.5,-3.0
9,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,5,8976.0,@elperiodicoaqui,4.0,4.0,-1.0,-1.0
20,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,1,215485.0,@levante_emv,1.0,1.0,-1.0,-1.0
21,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,2,169148.0,@lasprovincias,1.0,2.0,-2.0,-3.0
22,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,3,153064.0,@EMTmadrid,1.0,1.0,-1.0,-1.0
23,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,4,93427.0,@valenciaplaza,1.0,1.0,-1.0,-1.0
24,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,5,92284.0,@joanribo,2.0,2.0,-1.0,-1.0
25,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,1,1471.0,@goe_manogu,1.0,1.0,-1.0,-1.0
26,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,2,1031.0,@YgGregory,1.0,1.0,-1.0,-1.0
27,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,3,896.0,@TYPSAGroup,1.0,1.0,-1.0,-1.0
28,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,4,621.0,@JemuneG,1.0,1.0,-1.0,-1.0
29,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,5,390.0,@krenyre,1.0,1.0,-2.0,-2.0
30,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,1,23154.0,@splendid1040,1.0,1.0,-1.0,-1.0
31,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,2,13426.0,@carolmola,2.0,2.0,-1.0,-1.0
32,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,3,9010.0,@CAMETROVALENCIA,2.0,3.0,-1.0,-2.0
33,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,4,8396.0,@leon_montao,1.0,1.0,-2.0,-2.0
34,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,5,5000.0,@Hartmannmora,1.0,1.0,-2.0,-2.0
35,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,1,695356.0,@trafficVALENCIA,1.0,1.0,-1.0,-1.0
36,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,2,27881.0,@elkloden,1.0,1.0,-1.0,-1.0
37,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,3,9010.0,@CAMETROVALENCIA,1.0,1.0,-1.0,-1.0
38,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,4,8396.0,@leon_montao,3.0,5.0,-2.0,-2.0
39,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,5,7112.0,@polibueno691,2.0,2.0,-1.0,-1.0
40,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,1,67722.0,@fbb888,1.0,1.0,-1.0,-1.0
41,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,2,64612.0,@fbbbetf,1.0,1.0,-1.0,-1.0
42,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,3,28166.0,@fbbsix,1.0,1.0,-1.0,-1.0
43,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,4,4291.0,@ManUtdLatestCom,1.0,1.0,-1.0,-1.0
44,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,5,1579.0,@euroturismo,1.0,1.0,-1.0,-1.0
45,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,1,169107.0,@lasprovincias,1.0,1.0,-1.0,-1.0
46,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,2,93440.0,@valenciaplaza,1.0,3.0,-3.0,-4.0
47,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,3,18437.0,@SERvalencia,2.0,3.0,-1.0,-1.0
48,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,4,18275.0,@metrovalencia,1.0,3.0,-1.0,-3.0
49,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,5,14929.0,@AjuntamentVLC,1.0,1.0,-1.0,-1.0
70,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,1,169140.0,@lasprovincias,2.0,2.0,-1.0,-1.0
71,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,2,1710.0,@valenbisi_es,2.0,5.0,-1.0,-4.0
72,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,3,656.0,@jdaros,1.0,1.0,-3.0,-3.0
73,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,4,620.0,@valentia1238,1.0,1.0,-1.0,-1.0
74,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,5,417.0,@marionohales,1.5,2.0,-2.0,-2.0
