,QueryLabel,TimeStart,TimeStop,Top,Amount,UserID,Median Positive Sentiment,Max Positive Sentiment,Median Negative Sentiment,Max Negative Sentiment
0,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,1,12.0,@emtvalencia,1.0,4.0,-1.0,-3.0
1,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,2,3.0,@alberoabogada,1.0,2.0,-1.0,-2.0
2,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,3,2.0,@CsValencia_C,2.5,3.0,-2.0,-3.0
3,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,4,2.0,@TransitValencia,2.0,3.0,-1.0,-1.0
4,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,5,2.0,@jgmb65,1.0,1.0,-3.0,-4.0
5,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,1,10.0,@emtvalencia,1.0,3.0,-1.5,-3.0
6,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,2,4.0,@qja1j,2.5,3.0,-2.5,-4.0
7,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,3,3.0,@TransitValencia,1.0,2.0,-1.0,-1.0
8,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,4,2.0,@rafaelchecafos,2.0,3.0,-3.0,-5.0
9,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,5,2.0,@juanmagarm,1.5,2.0,-1.5,-2.0
20,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,1,131.0,@TransitValencia,1.0,3.0,-1.0,-3.0
21,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,2,130.0,@emtvalencia,1.0,4.0,-1.0,-4.0
22,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,3,23.0,@vlcextra,1.0,1.0,-1.0,-1.0
23,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,4,18.0,@giuseppegrezzi,1.0,5.0,-1.0,-3.0
24,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,5,14.0,@lasprovincias,1.0,2.0,-2.0,-3.0
25,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,1,2.0,@TYPSAGroup,1.0,1.0,-1.0,-1.0
26,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,2,2.0,@YgGregory,1.0,1.0,-1.0,-1.0
27,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,3,1.0,@Derek_Catbcn,3.0,3.0,-4.0,-4.0
28,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,4,1.0,@DraculaMetro,1.0,1.0,-3.0,-3.0
29,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,5,1.0,@JaRodmin,2.0,2.0,-2.0,-2.0
30,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,1,3.0,@CAMETROVALENCIA,2.0,3.0,-1.0,-2.0
31,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,2,1.0,@ActibiciVlc,1.0,1.0,-1.0,-1.0
32,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,3,1.0,@carolmola,2.0,2.0,-1.0,-1.0
33,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,4,1.0,@splendid1040,1.0,1.0,-1.0,-1.0
34,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,5,1.0,@rouxrizos_5,1.0,1.0,-1.0,-1.0
35,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,1,3.0,@iGuido141,1.0,1.0,-2.0,-4.0
