,QueryLabel,TimeStart,TimeStop,TweetCount,-5,-4,-3,-2,-1,1,2,3,4,5
0,emt,2018-06-28 11:08:53,2018-06-27 23:08:54,28.0,0.0,2.0,3.0,6.0,17.0,18.0,3.0,6.0,1.0,0.0
1,emt,2018-06-27 23:08:53,2018-06-26 11:08:54,72.0,5.0,2.0,8.0,12.0,45.0,43.0,12.0,11.0,4.0,2.0
2,emt,2018-06-26 11:08:53,2018-06-24 11:08:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,emt,2018-06-24 11:08:53,2018-06-20 11:08:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,emt,2018-06-20 11:08:53,2018-05-24 20:14:20,1039.0,16.0,34.0,93.0,155.0,741.0,671.0,182.0,122.0,27.0,37.0
5,metro,2018-06-28 11:08:53,2018-06-27 23:08:54,12.0,0.0,1.0,1.0,2.0,8.0,8.0,1.0,1.0,0.0,2.0
6,metro,2018-06-27 23:08:53,2018-06-26 11:08:54,29.0,0.0,3.0,1.0,10.0,15.0,16.0,5.0,6.0,2.0,0.0
7,metro,2018-06-26 11:08:53,2018-06-24 11:08:54,46.0,2.0,5.0,5.0,12.0,22.0,31.0,6.0,7.0,1.0,1.0
8,metro,2018-06-24 11:08:53,2018-06-20 11:08:54,13.0,0.0,0.0,2.0,1.0,10.0,12.0,1.0,0.0,0.0,0.0
9,metro,2018-06-20 11:08:53,2018-05-24 20:14:20,198.0,4.0,7.0,19.0,24.0,144.0,106.0,36.0,33.0,10.0,13.0
10,valenbici,2018-06-28 11:08:53,2018-06-27 23:08:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,valenbici,2018-06-27 23:08:53,2018-06-26 11:08:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,valenbici,2018-06-26 11:08:53,2018-06-24 11:08:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,valenbici,2018-06-24 11:08:53,2018-06-20 11:08:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,valenbici,2018-06-20 11:08:53,2018-05-24 20:14:20,39.0,0.0,4.0,6.0,6.0,23.0,14.0,12.0,6.0,4.0,3.0
