"Twitter Query: valenbisi OR valenbici near:39.4699075,-0.3762881000000107,15mi -filter:retweets",,,,,,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
26.05.2018 22:00:34,@Ken43Block_,Nico Lewandowski™,"@mixyourmedicine Normal, no tienes valenbisi 🙄😂",1003738523898433537,,,,0,1,Twitter for Android,85,598,0,,9/3/2010,"Valencia, España",#EchteLiebe💛,,,View
27.05.2018 4:06:51,@Ken43Block_,Nico Lewandowski™,"@mixyourmedicine Pues va, cámbiate que bajo, donde te recojo con mi flamante valenbisi? jajajajajajajajajaj",1003728768777768961,,,,0,1,Twitter for Android,85,598,0,,9/3/2010,"Valencia, España",#EchteLiebe💛,,,View
27.05.2018 4:06:51,@valentia1238,Antonio Valéncia,@lasprovincias @Joanenric67Joan @valenbisi_es Interesante...,1003691023644745728,,,,0,1,Twitter for Android,615,1029,15,,10/23/2016,"Valencia, España","Valenciano, mi manera de ser y de estar. Porque ya sabes, aquí, en el viejo Reino de Valencia, desde siempre, Som Valencians.",,,View
28.05.2018 19:06:18,@valenbisi_es,fomenta la bici,"@lasprovincias Podíais indagar el contrato a largo plazo que tiene firmado @JCDecaux_ESP con @AjuntamentVLC si tiene cláusulas ante la pérdida de competitividad ;) La evolución natural de @ValenbisiOfi sin mostrar novedades es que deje paso a otras opciones más ligeras,a otras más innovadoras..",1003580526375120896,,,,0,2,Twitter for Android,1708,289,80,,9/19/2010,"Valencia, Spain","Cuenta no oficial del servicio de bicis de la ciudad de Valencia, Valenbisi. Fomento del uso de la bicicleta #transportepublico #bici Info: valenbisi@gmail.com",,,View
28.05.2018 19:06:18,@lasprovincias,LAS PROVINCIAS,.@valenbisi_es pierde abonados por cuarto mes consecutivo y apenas supera los 44.000,1003536832502456320,http://www.lasprovincias.es/valencia-ciudad/valenbisi-pierde-abonados-20180604004059-ntvo.html,,,6,3,TweetDeck,169105,171,1802,✅,11/25/2008,"Valencia, Spain","Noticias de la Comunitat Valenciana, de España y de ámbito internacional WhatsApp: 626641201. Agréganos y envíanos tu nombre. https://telegram.me/lasprovincias",http://www.lasprovincias.es,,View
28.05.2018 19:06:18,@Carla_Esteban_,Carla Esteban del Álamo,Valenbisi pierde abonados por cuarto mes consecutivo y apenas supera los 44.000,1003408117659512832,https://ift.tt/2J85HeT,,,0,0,IFTTT,174,501,0,,12/5/2017,"Valencia, España",Abogada,,,View
28.05.2018 19:37:51,@valenbisi_es,fomenta la bici,@Willy_Sanz_ Nosotros en València nos preguntamos si en unos meses permiten ir a patinetes eléctricos por los viales de bici con la cantidad de baches que hay se van a hartar a pagar reclamaciones de accidentes. ¿Parches que sirven para coches y motos pero no para bicis y otros vehículos?,1003393718362234881,,,,0,1,Twitter for Android,1708,289,80,,9/19/2010,"Valencia, Spain","Cuenta no oficial del servicio de bicis de la ciudad de Valencia, Valenbisi. Fomento del uso de la bicicleta #transportepublico #bici Info: valenbisi@gmail.com",,,View
28.05.2018 19:37:51,@valenbisi_es,fomenta la bici,"Buenas noticias desde @AytoAlfafar 😄 Si conocéis buenas noticias del área metropolitana y cercanas a València para ampliar las vías ciclables compartirlo con nosotros, ¡gracias! RT @RedCiudadesBici: Alfafar: El proyecto del carril bici obtiene subvención europea",1003374611520741377,"https://twitter.com/RedCiudadesBici/status/1003310094317228032
http://www.ciudadesporlabicicleta.org/2018/05/08/alfafar-el-proyecto-del-carril-bici-obtiene-subvencion-europea/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost",,,1,1,Twitter for Android,1708,289,80,,9/19/2010,"Valencia, Spain","Cuenta no oficial del servicio de bicis de la ciudad de Valencia, Valenbisi. Fomento del uso de la bicicleta #transportepublico #bici Info: valenbisi@gmail.com",,,View
28.05.2018 19:37:51,@valenbisi_es,fomenta la bici,Pasaron las tormentas y vuelve el buen tiempo al menos hasta mediados de semana. ¡A disfrutar pedaleando de la ciudad! Buena semana 😉🏖️🌃🚲 RT @AEMET_CValencia: 03/05 19:15 #AEMET informa de que ya no hay avisos vigentes en C. Valenciana,1003373821678809089,"https://twitter.com/AEMET_CValencia/status/1003354497094123521
http://infotweet.aemet.es/tu77.html?1528053309",,,0,0,Twitter for Android,1708,289,80,,9/19/2010,"Valencia, Spain","Cuenta no oficial del servicio de bicis de la ciudad de Valencia, Valenbisi. Fomento del uso de la bicicleta #transportepublico #bici Info: valenbisi@gmail.com",,,View
28.05.2018 19:37:51,@pacoguillem,Francesc Guillem,@valenbisi_es @emtvalencia @metrovalencia S'ha quedat un dia preciós per anar en bici,1003294484120133632,,https://pbs.twimg.com/media/Dexq8jMWsAE-pd9.jpg,,1,2,Twitter for Android,236,298,16,,6/21/2010,Massalfassar,Ciclista urbà del sud emigrat al nord. Enamorat de les paraules. M'agrada córrer i fer de viquipedista.,,,View
